Order ID,Order Date,Ship Date,Ship Mode,Customer ID,City,State,Postal Code,Region
CA-2018-139619,19/09/2018,23/09/2018,Standard Class,ES-14080,Melbourne,Florida,32935.0,South
CA-2017-118255,11/03/2017,13/03/2017,First Class,ON-18715,Eagan,Minnesota,55122.0,Central
CA-2015-146703,20/10/2015,25/10/2015,Second Class,PO-18865,Westland,Michigan,48185.0,Central
CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900,Dover,Delaware,19901.0,East
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,New Albany,Indiana,47150.0,Central
CA-2017-105816,11/12/2017,17/12/2017,Standard Class,JM-15265,New York City,New York,10024.0,East
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Troy,New York,12180.0,East
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720,Los Angeles,California,90004.0,West
US-2016-164175,30/04/2016,05/05/2016,Standard Class,PS-18970,Chicago,Illinois,60610.0,Central
CA-2015-106376,05/12/2015,10/12/2015,Standard Class,BS-11590,Gilbert,Arizona,85234.0,West
CA-2017-119823,04/06/2017,06/06/2017,First Class,KD-16270,Springfield,Virginia,22153.0,South
CA-2017-106075,18/09/2017,23/09/2017,Standard Class,HM-14980,New York City,New York,10009.0,East
CA-2018-114440,14/09/2018,17/09/2018,Second Class,TB-21520,Jackson,Michigan,49201.0,Central
US-2016-134026,26/04/2016,02/05/2016,Standard Class,JE-15745,Memphis,Tennessee,38109.0,South
US-2018-118038,09/12/2018,11/12/2018,First Class,KB-16600,Houston,Texas,77041.0,Central
US-2015-147606,26/11/2015,01/12/2015,Second Class,JE-15745,Houston,Texas,77070.0,Central
CA-2017-127208,12/06/2017,15/06/2017,First Class,SC-20770,Decatur,Alabama,35601.0,South
CA-2015-139451,12/10/2015,16/10/2015,Standard Class,DN-13690,San Francisco,California,94122.0,West
CA-2016-149734,03/09/2016,08/09/2016,Standard Class,JC-16105,Durham,North Carolina,27707.0,South
US-2018-119662,13/11/2018,16/11/2018,First Class,CS-12400,Chicago,Illinois,60623.0,Central
CA-2018-140088,28/05/2018,30/05/2018,Second Class,PO-18865,Columbia,South Carolina,29203.0,South
CA-2018-155558,26/10/2018,02/11/2018,Standard Class,PG-18895,Rochester,Minnesota,55901.0,Central
CA-2017-159695,05/04/2017,10/04/2017,Second Class,GM-14455,Houston,Texas,77095.0,Central
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685,Los Angeles,California,90036.0,West
CA-2016-149587,31/01/2016,05/02/2016,Second Class,KB-16315,Minneapolis,Minnesota,55407.0,Central
US-2018-109484,06/11/2018,12/11/2018,Standard Class,RB-19705,Portland,Oregon,97206.0,West
CA-2018-161018,09/11/2018,11/11/2018,Second Class,PN-18775,New York City,New York,10009.0,East
CA-2018-157833,17/06/2018,20/06/2018,First Class,KD-16345,San Francisco,California,94122.0,West
CA-2017-149223,06/09/2017,11/09/2017,Standard Class,ER-13855,Saint Paul,Minnesota,55106.0,Central
CA-2017-158568,29/08/2017,02/09/2017,Standard Class,RB-19465,Chicago,Illinois,60610.0,Central
CA-2017-129903,01/12/2017,04/12/2017,Second Class,GZ-14470,Rochester,Minnesota,55901.0,Central
US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870,Aurora,Colorado,80013.0,West
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250,Charlotte,North Carolina,28205.0,South
CA-2016-129476,15/10/2016,20/10/2016,Standard Class,PA-19060,Orland Park,Illinois,60462.0,Central
CA-2018-146780,25/12/2018,30/12/2018,Standard Class,CV-12805,New York City,New York,10035.0,East
CA-2017-128867,03/11/2017,10/11/2017,Standard Class,CL-12565,Urbandale,Iowa,50322.0,Central
CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960,Columbus,Ohio,43229.0,East
CA-2016-110457,02/03/2016,06/03/2016,Standard Class,DK-13090,Seattle,Washington,98103.0,West
US-2016-136476,05/04/2016,10/04/2016,Standard Class,GG-14650,Bristol,Tennessee,37620.0,South
CA-2017-103730,12/06/2017,15/06/2017,First Class,SC-20725,Wilmington,Delaware,19805.0,East
US-2015-152030,26/12/2015,28/12/2015,Second Class,AD-10180,Houston,Texas,77041.0,Central
US-2015-134614,20/09/2015,25/09/2015,Standard Class,PF-19165,Bloomington,Illinois,61701.0,Central
US-2018-107272,05/11/2018,12/11/2018,Standard Class,TS-21610,Phoenix,Arizona,85023.0,West
US-2017-125969,06/11/2017,10/11/2017,Second Class,LS-16975,Los Angeles,California,90004.0,West
US-2018-164147,02/02/2018,05/02/2018,First Class,DW-13585,Columbus,Ohio,43229.0,East
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,LC-16885,Roseville,California,95661.0,West
CA-2017-110366,05/09/2017,07/09/2017,Second Class,JD-15895,Philadelphia,Pennsylvania,19140.0,East
CA-2018-106180,18/09/2018,23/09/2018,Standard Class,SH-19975,San Francisco,California,94122.0,West
CA-2018-155376,22/12/2018,27/12/2018,Standard Class,SG-20080,Independence,Missouri,64055.0,Central
CA-2016-110744,07/09/2016,12/09/2016,Standard Class,HA-14920,Pasadena,California,91104.0,West
CA-2015-110072,22/10/2015,28/10/2015,Standard Class,MG-17680,Newark,Ohio,43055.0,East
CA-2017-114489,05/12/2017,09/12/2017,Standard Class,JE-16165,Franklin,Wisconsin,53132.0,Central
CA-2017-158834,13/03/2017,16/03/2017,First Class,TW-21025,Scottsdale,Arizona,85254.0,West
CA-2016-124919,31/05/2016,02/06/2016,First Class,SP-20650,San Jose,California,95123.0,West
CA-2016-118948,28/05/2016,03/06/2016,Standard Class,NK-18490,Seattle,Washington,98105.0,West
CA-2015-104269,01/03/2015,06/03/2015,Second Class,DB-13060,Seattle,Washington,98115.0,West
CA-2017-114104,20/11/2017,24/11/2017,Standard Class,NP-18670,Edmond,Oklahoma,73034.0,Central
CA-2017-162733,11/05/2017,12/05/2017,First Class,TT-21070,Los Angeles,California,90045.0,West
CA-2016-119697,28/12/2016,31/12/2016,Second Class,EM-13960,Philadelphia,Pennsylvania,19134.0,East
CA-2017-154508,16/11/2017,20/11/2017,Standard Class,RD-19900,Carlsbad,New Mexico,88220.0,West
CA-2017-113817,07/11/2017,11/11/2017,Standard Class,MJ-17740,Seattle,Washington,98115.0,West
CA-2015-139892,08/09/2015,12/09/2015,Standard Class,BM-11140,San Antonio,Texas,78207.0,Central
CA-2015-118962,05/08/2015,09/08/2015,Standard Class,CS-12130,Los Angeles,California,90004.0,West
US-2015-100853,14/09/2015,19/09/2015,Standard Class,JB-15400,Chicago,Illinois,60623.0,Central
US-2018-152366,21/04/2018,25/04/2018,Second Class,SJ-20500,Houston,Texas,77036.0,Central
US-2016-101511,21/11/2016,23/11/2016,Second Class,JE-15745,Newark,Ohio,43055.0,East
CA-2016-137225,15/12/2016,19/12/2016,Standard Class,JK-15640,New York City,New York,10009.0,East
CA-2015-166191,05/12/2015,09/12/2015,Second Class,DK-13150,Decatur,Illinois,62521.0,Central
CA-2015-158274,19/11/2015,24/11/2015,Second Class,RM-19675,Monroe,Louisiana,71203.0,South
CA-2017-105018,28/11/2017,02/12/2017,Standard Class,SK-19990,Fairfield,Connecticut,6824.0,East
CA-2015-123260,26/08/2015,30/08/2015,Standard Class,FM-14290,Los Angeles,California,90032.0,West
CA-2017-157000,16/07/2017,22/07/2017,Standard Class,AM-10360,Grand Prairie,Texas,75051.0,Central
CA-2016-102281,12/10/2016,14/10/2016,First Class,MP-17470,New York City,New York,10035.0,East
CA-2016-131457,31/10/2016,06/11/2016,Standard Class,MZ-17515,Redlands,California,92374.0,West
CA-2015-140004,21/03/2015,25/03/2015,Standard Class,CB-12025,Hamilton,Ohio,45011.0,East
CA-2018-107720,06/11/2018,13/11/2018,Standard Class,VM-21685,Westfield,New Jersey,7090.0,East
US-2018-124303,06/07/2018,13/07/2018,Standard Class,FH-14365,Philadelphia,Pennsylvania,19120.0,East
CA-2018-105074,24/06/2018,29/06/2018,Standard Class,MB-17305,Akron,Ohio,44312.0,East
CA-2015-133690,03/08/2015,05/08/2015,First Class,BS-11755,Denver,Colorado,80219.0,West
US-2018-116701,17/12/2018,21/12/2018,Second Class,LC-17140,Dallas,Texas,75220.0,Central
CA-2018-126382,03/06/2018,07/06/2018,Standard Class,HK-14890,Franklin,Tennessee,37064.0,South
CA-2018-108329,09/12/2018,14/12/2018,Standard Class,LE-16810,Whittier,California,90604.0,West
CA-2018-135860,01/12/2018,07/12/2018,Standard Class,JH-15985,Saginaw,Michigan,48601.0,Central
CA-2016-101007,09/02/2016,13/02/2016,Second Class,MS-17980,Dallas,Texas,75220.0,Central
CA-2016-146262,02/01/2016,09/01/2016,Standard Class,VW-21775,Medina,Ohio,44256.0,East
CA-2017-130162,28/10/2017,01/11/2017,Standard Class,JH-15910,Los Angeles,California,90032.0,West
CA-2016-169397,24/12/2016,27/12/2016,First Class,JB-15925,Dublin,Ohio,43017.0,East
CA-2016-163055,09/08/2016,16/08/2016,Standard Class,DS-13180,Detroit,Michigan,48227.0,Central
US-2016-145436,28/02/2016,04/03/2016,Standard Class,VD-21670,Columbia,Tennessee,38401.0,South
US-2015-156216,13/09/2015,17/09/2015,Standard Class,EA-14035,Charlotte,North Carolina,28205.0,South
US-2018-100930,07/04/2018,12/04/2018,Standard Class,CS-12400,Tampa,Florida,33614.0,South
CA-2018-160514,12/11/2018,16/11/2018,Standard Class,DB-13120,Santa Clara,California,95051.0,West
CA-2017-157749,04/06/2017,09/06/2017,Second Class,KL-16645,Chicago,Illinois,60610.0,Central
CA-2015-131926,01/06/2015,06/06/2015,Second Class,DW-13480,Lakeville,Minnesota,55044.0,Central
CA-2017-154739,10/12/2017,15/12/2017,Second Class,LH-17155,San Francisco,California,94109.0,West
CA-2017-145625,11/09/2017,17/09/2017,Standard Class,KC-16540,San Diego,California,92037.0,West
CA-2017-146941,10/12/2017,13/12/2017,First Class,DL-13315,New York City,New York,10024.0,East
US-2016-159982,28/11/2016,04/12/2016,Standard Class,DR-12880,Chicago,Illinois,60623.0,Central
CA-2018-163139,01/12/2018,03/12/2018,Second Class,CC-12670,New York City,New York,10009.0,East
US-2018-155299,08/06/2018,12/06/2018,Standard Class,Dl-13600,Pasadena,Texas,77506.0,Central
US-2015-106992,19/09/2015,21/09/2015,Second Class,SB-20290,Houston,Texas,77036.0,Central
CA-2017-125318,06/06/2017,13/06/2017,Standard Class,RC-19825,Chicago,Illinois,60610.0,Central
CA-2016-155040,10/11/2016,15/11/2016,Standard Class,AH-10210,Brentwood,California,94513.0,West
CA-2018-136826,16/06/2018,20/06/2018,Standard Class,CB-12535,Chapel Hill,North Carolina,27514.0,South
CA-2017-111010,22/01/2017,28/01/2017,Standard Class,PG-18895,Morristown,New Jersey,7960.0,East
US-2018-145366,09/12/2018,13/12/2018,Standard Class,CA-12310,Cincinnati,Ohio,45231.0,East
CA-2018-163979,28/12/2018,02/01/2019,Second Class,KH-16690,San Francisco,California,94110.0,West
CA-2016-155334,30/07/2016,31/07/2016,First Class,HA-14920,San Francisco,California,94109.0,West
CA-2018-118136,16/09/2018,17/09/2018,First Class,BB-10990,Inglewood,California,90301.0,West
CA-2018-132976,13/10/2018,17/10/2018,Standard Class,AG-10495,Philadelphia,Pennsylvania,19140.0,East
US-2016-161991,26/09/2016,28/09/2016,Second Class,SC-20725,Houston,Texas,77070.0,Central
CA-2016-130890,02/11/2016,06/11/2016,Standard Class,JO-15280,Los Angeles,California,90004.0,West
CA-2016-130883,26/09/2016,02/10/2016,Standard Class,TB-21520,Portland,Oregon,97206.0,West
CA-2017-112697,18/12/2017,20/12/2017,Second Class,AH-10195,Tamarac,Florida,33319.0,South
CA-2017-110772,20/11/2017,24/11/2017,Second Class,NZ-18565,Columbus,Ohio,43229.0,East
CA-2015-111451,26/12/2015,28/12/2015,First Class,KL-16555,Colorado Springs,Colorado,80906.0,West
CA-2017-142545,28/10/2017,03/11/2017,Standard Class,JD-15895,Belleville,New Jersey,7109.0,East
US-2018-152380,19/11/2018,23/11/2018,Standard Class,JH-15910,Chicago,Illinois,60623.0,Central
CA-2016-144253,04/05/2016,09/05/2016,Second Class,AS-10225,New York City,New York,10024.0,East
CA-2015-130960,30/12/2015,04/01/2016,Standard Class,KB-16600,Taylor,Michigan,48180.0,Central
CA-2015-111003,01/06/2015,06/06/2015,Standard Class,CR-12625,Lakewood,New Jersey,8701.0,East
CA-2018-126774,15/04/2018,17/04/2018,First Class,SH-20395,Arlington,Virginia,22204.0,South
CA-2017-142902,12/09/2017,14/09/2017,Second Class,BP-11185,Arvada,Colorado,80004.0,West
CA-2015-120887,27/09/2015,03/10/2015,Standard Class,TS-21205,Hackensack,New Jersey,7601.0,East
CA-2015-167850,09/08/2015,16/08/2015,Standard Class,AG-10525,Saint Petersburg,Florida,33710.0,South
CA-2015-164259,28/12/2015,30/12/2015,First Class,SP-20860,Philadelphia,Pennsylvania,19143.0,East
CA-2015-164973,04/11/2015,09/11/2015,Standard Class,NM-18445,New York City,New York,10024.0,East
CA-2015-156601,19/09/2015,24/09/2015,Standard Class,FA-14230,Long Beach,California,90805.0,West
CA-2017-162138,23/04/2017,27/04/2017,Standard Class,GK-14620,Hesperia,California,92345.0,West
CA-2018-153339,03/11/2018,05/11/2018,Second Class,DJ-13510,Murfreesboro,Tennessee,37130.0,South
US-2017-141544,30/08/2017,01/09/2017,First Class,PO-18850,Philadelphia,Pennsylvania,19143.0,East
US-2017-150147,25/04/2017,29/04/2017,Second Class,JL-15850,Philadelphia,Pennsylvania,19134.0,East
CA-2016-137946,01/09/2016,04/09/2016,Second Class,DB-13615,Los Angeles,California,90045.0,West
CA-2015-129924,12/07/2015,17/07/2015,Standard Class,AC-10420,San Francisco,California,94122.0,West
CA-2016-128167,22/06/2016,26/06/2016,Second Class,KL-16645,Layton,Utah,84041.0,West
CA-2015-122336,13/04/2015,17/04/2015,Second Class,JD-15895,Philadelphia,Pennsylvania,19140.0,East
US-2016-120712,20/12/2016,24/12/2016,Standard Class,CS-12130,Austin,Texas,78745.0,Central
CA-2018-169901,15/06/2018,19/06/2018,Standard Class,CC-12550,San Francisco,California,94122.0,West
CA-2018-134306,08/07/2018,12/07/2018,Standard Class,TD-20995,Lowell,Massachusetts,1852.0,East
CA-2017-129714,01/09/2017,03/09/2017,First Class,AB-10060,New York City,New York,10009.0,East
CA-2017-138520,08/04/2017,13/04/2017,Standard Class,JL-15505,New York City,New York,10035.0,East
CA-2017-130001,23/04/2017,28/04/2017,Standard Class,HK-14890,Charlotte,North Carolina,28205.0,South
CA-2018-155698,08/03/2018,11/03/2018,First Class,VB-21745,Columbus,Georgia,31907.0,South
CA-2018-144904,25/09/2018,01/10/2018,Standard Class,KW-16435,New York City,New York,10009.0,East
CA-2015-123344,24/09/2015,29/09/2015,Standard Class,JD-16060,San Francisco,California,94109.0,West
CA-2017-155516,21/10/2017,21/10/2017,Same Day,MK-17905,Manchester,Connecticut,6040.0,East
CA-2018-104745,29/05/2018,04/06/2018,Standard Class,GT-14755,Harlingen,Texas,78550.0,Central
US-2015-119137,23/07/2015,27/07/2015,Standard Class,AG-10900,Tucson,Arizona,85705.0,West
US-2017-134656,28/09/2017,01/10/2017,First Class,MM-18280,Quincy,Illinois,62301.0,Central
US-2018-134481,27/08/2018,01/09/2018,Standard Class,AR-10405,Franklin,Massachusetts,2038.0,East
CA-2016-130792,28/04/2016,05/05/2016,Standard Class,RA-19915,Houston,Texas,77095.0,Central
CA-2017-134775,28/10/2017,29/10/2017,First Class,AS-10285,San Francisco,California,94109.0,West
CA-2016-125395,26/06/2016,29/06/2016,Second Class,LA-16780,Taylor,Michigan,48180.0,Central
US-2016-168935,27/11/2016,02/12/2016,Standard Class,DO-13435,Pembroke Pines,Florida,33024.0,South
CA-2016-122756,03/12/2016,07/12/2016,Standard Class,DK-13225,Philadelphia,Pennsylvania,19140.0,East
CA-2015-115973,24/11/2015,26/11/2015,First Class,NG-18430,Cincinnati,Ohio,45231.0,East
CA-2018-101798,11/12/2018,15/12/2018,Standard Class,MV-18190,New York City,New York,10009.0,East
US-2015-135972,21/09/2015,23/09/2015,Second Class,JG-15115,Des Moines,Washington,98198.0,West
US-2015-134971,07/06/2015,10/06/2015,Second Class,BP-11095,Peoria,Illinois,61604.0,Central
CA-2018-102946,30/06/2018,05/07/2018,Standard Class,VP-21730,Las Vegas,Nevada,89115.0,West
CA-2018-165603,17/10/2018,19/10/2018,Second Class,SS-20140,Warwick,Rhode Island,2886.0,East
CA-2016-122259,31/10/2016,04/11/2016,Standard Class,HP-14815,Jackson,Michigan,49201.0,Central
CA-2017-108987,08/09/2017,10/09/2017,Second Class,AG-10675,Houston,Texas,77036.0,Central
CA-2015-113166,24/12/2015,26/12/2015,First Class,LF-17185,Miami,Florida,33180.0,South
CA-2015-155208,16/04/2015,20/04/2015,Standard Class,SP-20650,Wilmington,North Carolina,28403.0,South
CA-2018-117933,24/12/2018,29/12/2018,Standard Class,RF-19840,New York City,New York,10024.0,East
CA-2018-117457,08/12/2018,12/12/2018,Standard Class,KH-16510,San Francisco,California,94110.0,West
CA-2018-142636,03/11/2018,07/11/2018,Standard Class,KC-16675,Seattle,Washington,98105.0,West
CA-2018-122105,24/06/2018,28/06/2018,Standard Class,CJ-12010,Huntington Beach,California,92646.0,West
CA-2017-148796,14/04/2017,18/04/2017,Standard Class,PB-19150,Los Angeles,California,90004.0,West
CA-2018-154816,06/11/2018,10/11/2018,Standard Class,VB-21745,Richmond,Kentucky,40475.0,South
CA-2018-110478,04/03/2018,09/03/2018,Standard Class,SP-20860,Los Angeles,California,90045.0,West
CA-2015-142048,22/06/2015,25/06/2015,First Class,JE-15745,Louisville,Colorado,80027.0,West
CA-2018-125388,19/10/2018,23/10/2018,Standard Class,MP-17965,Lawrence,Massachusetts,1841.0,East
CA-2018-155705,21/08/2018,23/08/2018,Second Class,NF-18385,Jackson,Mississippi,39212.0,South
CA-2018-149160,23/11/2018,26/11/2018,Second Class,JM-15265,Canton,Michigan,48187.0,Central
CA-2015-101476,12/09/2015,13/09/2015,First Class,SD-20485,New Rochelle,New York,10801.0,East
CA-2018-152275,01/10/2018,08/10/2018,Standard Class,KH-16630,San Antonio,Texas,78207.0,Central
US-2017-123750,15/04/2017,21/04/2017,Standard Class,RB-19795,Gastonia,North Carolina,28052.0,South
CA-2017-127369,06/06/2017,07/06/2017,First Class,DB-13060,Lowell,Massachusetts,1852.0,East
US-2015-150574,19/12/2015,25/12/2015,Standard Class,MK-18160,Jacksonville,Florida,32216.0,South
CA-2017-147375,12/06/2017,14/06/2017,Second Class,PO-19180,Chicago,Illinois,60623.0,Central
CA-2018-130043,15/09/2018,19/09/2018,Standard Class,BB-11545,Houston,Texas,77070.0,Central
CA-2018-157252,20/01/2018,23/01/2018,Second Class,CV-12805,New York City,New York,10024.0,East
CA-2017-115756,05/09/2017,07/09/2017,Second Class,PK-19075,Detroit,Michigan,48227.0,Central
CA-2018-154214,20/03/2018,25/03/2018,Second Class,TB-21595,Columbus,Indiana,47201.0,Central
CA-2017-166674,01/04/2017,03/04/2017,Second Class,RB-19360,Auburn,New York,13021.0,East
CA-2018-147277,20/10/2018,24/10/2018,Standard Class,EB-13705,Akron,Ohio,44312.0,East
CA-2017-100153,13/12/2017,17/12/2017,Standard Class,KH-16630,Norman,Oklahoma,73071.0,Central
US-2015-110674,12/02/2015,18/02/2015,Standard Class,SC-20095,Concord,California,94521.0,West
US-2017-157945,26/09/2017,01/10/2017,Standard Class,NF-18385,Decatur,Illinois,62521.0,Central
CA-2016-109638,15/12/2016,22/12/2016,Standard Class,JH-15985,Seattle,Washington,98115.0,West
CA-2017-109869,22/04/2017,29/04/2017,Standard Class,TN-21040,Phoenix,Arizona,85023.0,West
US-2016-101399,17/01/2016,24/01/2016,Standard Class,JS-15940,Park Ridge,Illinois,60068.0,Central
CA-2018-154907,31/03/2018,04/04/2018,Standard Class,DS-13180,Amarillo,Texas,79109.0,Central
US-2017-100419,16/12/2017,20/12/2017,Second Class,CC-12670,Chicago,Illinois,60610.0,Central
CA-2016-154144,20/12/2016,24/12/2016,Standard Class,MH-17785,Lindenhurst,New York,11757.0,East
CA-2015-144666,09/11/2015,11/11/2015,Second Class,JP-15520,San Francisco,California,94110.0,West
CA-2017-103891,12/07/2017,19/07/2017,Standard Class,KH-16690,Los Angeles,California,90008.0,West
CA-2017-152632,27/10/2017,02/11/2017,Standard Class,JE-15475,Troy,New York,12180.0,East
CA-2017-100790,26/06/2017,02/07/2017,Standard Class,JG-15805,New York City,New York,10024.0,East
CA-2015-134677,06/10/2015,10/10/2015,Standard Class,XP-21865,San Diego,California,92024.0,West
CA-2015-127691,22/07/2015,27/07/2015,Standard Class,EM-14065,New York City,New York,10024.0,East
CA-2018-140963,10/06/2018,13/06/2018,First Class,MT-18070,Los Angeles,California,90045.0,West
CA-2015-154627,29/10/2015,31/10/2015,First Class,SA-20830,Chicago,Illinois,60610.0,Central
CA-2015-133753,09/06/2015,13/06/2015,Second Class,CW-11905,Huntsville,Texas,77340.0,Central
CA-2015-113362,14/09/2015,19/09/2015,Standard Class,AJ-10960,Rochester,New York,14609.0,East
CA-2017-169166,09/05/2017,14/05/2017,Standard Class,SS-20590,Seattle,Washington,98115.0,West
US-2017-120929,18/03/2017,21/03/2017,Second Class,RO-19780,Memphis,Tennessee,38109.0,South
CA-2016-134782,27/12/2016,31/12/2016,Standard Class,MD-17350,Fayetteville,Arkansas,72701.0,South
CA-2017-126158,25/07/2017,31/07/2017,Standard Class,SC-20095,Costa Mesa,California,92627.0,West
US-2017-105578,30/05/2017,04/06/2017,Standard Class,MY-17380,Parker,Colorado,80134.0,West
CA-2018-134978,12/11/2018,15/11/2018,Second Class,EB-13705,New York City,New York,10024.0,East
CA-2016-145352,16/03/2016,22/03/2016,Standard Class,CM-12385,Atlanta,Georgia,30318.0,South
CA-2018-135307,26/11/2018,27/11/2018,First Class,LS-17245,Gladstone,Missouri,64118.0,Central
CA-2017-106341,20/10/2017,23/10/2017,First Class,LF-17185,Newark,Ohio,43055.0,East
CA-2018-163405,21/12/2018,25/12/2018,Standard Class,BN-11515,Los Angeles,California,90049.0,West
CA-2018-127432,22/01/2018,27/01/2018,Standard Class,AD-10180,Great Falls,Montana,59405.0,West
CA-2016-157812,22/03/2016,26/03/2016,Standard Class,DB-13210,Houston,Texas,77041.0,Central
CA-2018-145142,23/01/2018,25/01/2018,First Class,MC-17605,Detroit,Michigan,48234.0,Central
US-2017-139486,21/05/2017,23/05/2017,First Class,LH-17155,Los Angeles,California,90032.0,West
CA-2016-158792,26/12/2016,02/01/2017,Standard Class,BD-11605,Lawrence,Massachusetts,1841.0,East
CA-2018-113558,21/10/2018,26/10/2018,Standard Class,PH-18790,Lakeland,Florida,33801.0,South
US-2016-138303,03/09/2016,07/09/2016,Standard Class,MG-18145,Philadelphia,Pennsylvania,19134.0,East
CA-2016-102848,07/11/2016,09/11/2016,Second Class,KB-16240,Los Angeles,California,90036.0,West
US-2018-129441,07/09/2018,11/09/2018,Standard Class,JC-15340,Los Angeles,California,90032.0,West
CA-2017-168753,29/05/2017,01/06/2017,Second Class,RL-19615,Montgomery,Alabama,36116.0,South
CA-2017-126613,10/07/2017,16/07/2017,Standard Class,AA-10375,Mesa,Arizona,85204.0,West
US-2018-122637,03/09/2018,08/09/2018,Second Class,EP-13915,Chicago,Illinois,60653.0,Central
CA-2016-147851,03/12/2016,08/12/2016,Standard Class,MP-17470,New York City,New York,10009.0,East
CA-2016-134894,07/12/2016,11/12/2016,Standard Class,DK-12985,Henderson,Kentucky,42420.0,South
CA-2015-140795,01/02/2015,03/02/2015,First Class,BD-11500,Green Bay,Wisconsin,54302.0,Central
CA-2017-136924,14/07/2017,17/07/2017,First Class,ES-14080,Tucson,Arizona,85705.0,West
US-2016-120161,18/12/2016,23/12/2016,Standard Class,LM-17065,Springfield,Ohio,45503.0,East
CA-2015-103849,11/05/2015,16/05/2015,Standard Class,PG-18895,Fort Worth,Texas,76106.0,Central
CA-2018-162929,19/11/2018,22/11/2018,First Class,AS-10135,New York City,New York,10035.0,East
CA-2016-113173,15/11/2016,17/11/2016,Second Class,DK-13225,Chicago,Illinois,60653.0,Central
CA-2017-136406,15/04/2017,17/04/2017,Second Class,BD-11320,San Francisco,California,94110.0,West
CA-2018-112774,11/09/2018,12/09/2018,First Class,RC-19960,Jacksonville,Florida,32216.0,South
CA-2018-101945,24/11/2018,28/11/2018,Standard Class,GT-14710,Houston,Texas,77070.0,Central
CA-2018-100650,29/06/2018,03/07/2018,Second Class,DK-13225,Anaheim,California,92804.0,West
CA-2015-155852,03/03/2015,07/03/2015,Second Class,AJ-10945,Wilmington,North Carolina,28403.0,South
CA-2017-113243,10/06/2017,15/06/2017,Standard Class,OT-18730,Los Angeles,California,90045.0,West
CA-2018-118731,20/11/2018,22/11/2018,Second Class,LP-17080,San Francisco,California,94110.0,West
CA-2015-145576,14/09/2015,18/09/2015,Second Class,CA-12775,Tampa,Florida,33614.0,South
CA-2016-130736,07/12/2016,09/12/2016,First Class,JF-15490,Seattle,Washington,98105.0,West
CA-2018-137099,07/12/2018,10/12/2018,First Class,FP-14320,Los Angeles,California,90008.0,West
CA-2018-156951,01/10/2018,08/10/2018,Standard Class,EB-13840,Seattle,Washington,98105.0,West
CA-2018-164826,28/12/2018,04/01/2019,Standard Class,JF-15415,New York City,New York,10024.0,East
CA-2017-127250,03/11/2017,07/11/2017,Standard Class,SF-20200,Marysville,Washington,98270.0,West
